a newes,s. nöwis.,
ääbes·awägg,"(Part.): a) flach, ohne Höhendifferenz (wh 180); SYN: ääbe, ääbezi. b) flach, bis auf die Wurzeln, zB abschneiden (wh 180).",
Aabsatz, s. Absatz.,
aafygge,"(-gfygget): plagen, necken, bes. wenn betrunken (derb / Pl2). ↑höḷke.",
aagnääm,"(-er, -scht): angenehm, von Dingen u. Personen (allg.); SYN: chomlig. ↑ ggattiget, hiimelig.",
aahüüffle,"(-ghüüfflet): Kartoffeln beim Ernten aufhäufen (sds 6,210: We). SYN: fùùre.",
Aalessereta,"(f, -e): Messerstecherei (Wassmer). SYN: Mässereta.",[zu Aalessa; zu -eta s. Schlegleta ]
aam·brüele, s. aabrüele.,
Äänet-dem-Bach-Schröötler,(Pl.): Übername für die Bewohner von St. Ursen. SYN: Hamefrässer.,
aapäägge,(-et): anschreien (Dü He2 Gi1). ↑sandutte.,
äär,(Pron.): er (allg. / wh 197); ä◆ manti eppa er sollte dann (He2 Si2); är hets nit bi mù ghääbë (wh 198); vgl. Anhang 2.,"[auch är (wh: halbbetont), ä (Ta1 ML2 Gi2 Si2), er (wh; Stalder)]"
äärd·bäbbne,(-päbbnet): erdbeben (Gu1 Üb1 He1 Pl1 Ss1). SYN: äärpǜpme.,
Aarmevogt,"(m, -e): Vormund (pk).",[fehlt so in Ma-Wbb]
äärscht,"(-er, -escht): ernst (wh 168); z äärschtùm (wh 134); aß si äärschter isch ù allz rüwiger nǜmpt (pb Ana91); ANT: liecht.",
ääs,"(Pron.): es, betont, Nom. od. Akk. Sg.; auch für Mädchen u. Frauen gebraucht (allg. / wh 197); iim het ääs mǜnder ggschǜche weder sia (pb Ana 13); ds Vreeni isch chrank, äs het Fieber (Re1); SYN: as2. vgl. Anhang 2.",[auch äs (Re1 / wh)]
Aaschùtz,"(m, -ǜ-): ❶ Wasserschwall eines ansteigenden Flusses (pb S-4); SYN: Pysswasch. ↑Flùss. ❷ erster Wurf beim Kegeln (Id); ↑chiigle.","[zu Schùtz ◆ Id 8,1709: nur BE]"
aasùre,(-gsùret): anherrschen (Fr1 Ta2 Si2). SYN: sandutte.,
aatrùùhe,"(-ner, -nscht): angetrunken: Nachtbuebe ù Halbiachtiggüggle [hii], a wee aatrùùhe, eggschpräss tol gholeiet ù gflegeret (pb Verse28); SYN: gstüberet.",
abach,"(Part.): ach was, nicht doch, Ausruf der Ablehnung, der Gleichgültigkeit (allg.); aba neei (allg1 Wü2 Üb2 Fr2 Ta2 Pl2 Ss2 / wh 24); abach, tùmm Züüg (Wü1); aba, wartet no a bitz (pm 50); SYN: owa, wua. ↑ miera, pärdi, tampi, ytem.","[auch aba (Gu1 Dü1 Wü2 Fr1 He1 Gi1 Re1 Pl2 / pm) ◆ Id 4,895: ba, aba ]"
aber·glǜǜbisch,"(-er, -t): abergläubisch (wh 76). ↑chlǜpfig.",
abitz, s. bitz.,
abmüüe,"(-gmüüt): anstrengen, Mühe geben (wh 86). SYN: päärze.",
Ankeschnitta,"(f, -e): Butterbrot (sds 5,178: Wü Üb Gi).",[Dim. Ankeschnitteli (sds: Gi)]
anni·lùùffe,(-gglǜffe): hinübergehen (allg.).,
antworte,"(gg-et): antworten, entgegnen (allg.); er het sîm Atto g'antwortet: gschauet! (Stalder 1819: UL); ▲rede. SYN: ggonterbiere, ggontere, zrùgg·gää. ↑(z Antwort) gää.",
aprene,"(aprennt, aprone): Feuer entfachen, entzünden (wh 96, 208); het de Öltäägel aprone ù het d Bübla vǜrha gnoo (pm 56); SYN: aazǜnte, brene, bübele, füüre, fürtüüfle. ↑tüüfḷhiile.","[mhd en-brennen 'entzünden' ◆ Id 5,629: BE-OL, Südwalser]"
arblicke,(-t): erblicken (Gu2 We1 Si2). SYN: arlicke.,[auch erblicke (Gu2) ◆ neu]
